unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
158,NEXT142,2026-08-08,diagnostic,threshold-local retention audit,SCIGEN+WyFormer discovery labels (offline),threshold-local protected-vs-severe AUC over 149 features,selected lower acsb_site_residual_max: SCIGEN 0.647826/0.647564/0.626170; WyFormer pooled 0.548078,diagnostic-only,yes,line 1304 | docs/plans/2026-08-08-next142-threshold-local-retention-audit.md | artifact mtime: docs/plans/2026-08-08-next142-threshold-local-retention-audit.md
159,NEXT143,2026-08-08,search/test,Coulomb-steric balance protection feature (ACSB),SCIGEN+WyFormer discovery,label-free feature build (parameter-free),"support 13,260/13,470 and 5,204/5,232; positive on 5,880 / 2,016 rows",probe-pass,yes,line 1341 | docs/plans/2026-08-08-next143-coulomb-steric-balance-protection.md | artifact mtime: docs/plans/2026-08-08-next143-coulomb-steric-balance-protection.md
160,NEXT144,2026-08-08,search/test,balance-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,88 candidates; 22 SAFE12 (weights 0 and 0.1); 0 BROAD,fail-gate,yes,line 1364 | docs/plans/2026-08-08-next144-coulomb-steric-balance-protection-search-freeze.json | SSD/workspace_data/newpauling/next144_coulomb_steric_balance_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate
161,NEXT145,2026-08-08,diagnostic,balance residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,shortfall 0.792624940 at w=0 worsens to 0.812704862 at w=0.1; branch terminated,diagnostic-only,yes,line 1364 | docs/plans/2026-08-08-next145-coulomb-steric-balance-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next145_coulomb_steric_balance_broad_residual_diagnostic_v1/NEXT145_COULOMB_STERIC_BALANCE_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candi
162,NEXT146,2026-08-08,search/test,sparse balance exemption search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,231 candidates; 55 SAFE12; 0 BROAD,fail-gate,yes,line 1428 | docs/plans/2026-08-08-next146-conditional-balance-exemption-search-freeze.json | SSD/workspace_data/newpauling/next146_conditional_balance_exemption_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_cou
163,NEXT147,2026-08-08,diagnostic,exemption residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,every cutoff worsens residual (0.814260497-0.824271884 vs 0.792624940 baseline); ACSB axis closed,diagnostic-only,yes,line 1446 | docs/plans/2026-08-08-next147-conditional-balance-exemption-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next147_conditional_balance_exemption_broad_residual_diagnostic_v1/NEXT147_CONDITIONAL_BALANCE_EXEMPTION_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_c
164,NEXT148,2026-08-08,search/test,formal-charge spectrum protection feature,SCIGEN+WyFormer discovery,label-free feature build,"lower csf_long_fraction shell AUC SCIGEN 0.598915/0.570485; WyFormer 0.649294/0.615480; support 13,260 / 5,204",probe-pass,yes,line 1480 | docs/plans/2026-08-08-next148-charge-order-spectrum-protection.md | artifact mtime: docs/plans/2026-08-08-next148-charge-order-spectrum-protection.md
165,NEXT149,2026-08-08,search/test,spectrum-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,88 candidates; 33 SAFE12; all positive weights fail source-AUC gates; 0 BROAD,fail-gate,yes,line 1498 | docs/plans/2026-08-08-next149-charge-order-spectrum-protection-search-freeze.json | SSD/workspace_data/newpauling/next149_charge_order_spectrum_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
166,NEXT150,2026-08-08,diagnostic,spectrum residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,weight-1 shortfall 0.848774725; weight-2 4.303826445 with 12 BROAD failures; branch closed,diagnostic-only,yes,line 1513 | docs/plans/2026-08-08-next150-charge-order-spectrum-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next150_charge_order_spectrum_broad_residual_diagnostic_v1/NEXT150_CHARGE_ORDER_SPECTRUM_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candida
167,NEXT151,2026-08-08,diagnostic,contribution-multiplicity audit,SCIGEN+WyFormer discovery labels (offline),cross-source shell eligibility of 14 aggregation statistics,"sum_minus_top2 sole eligible; shell AUC SCIGEN 0.580291/0.579997/0.556517, WyFormer pooled 0.647729",diagnostic-only,yes,line 1569 | docs/plans/2026-08-08-next151-violation-multiplicity-audit.md | SSD/workspace_data/newpauling/next151_violation_multiplicity_audit_v1/MANIFEST.json :: eligible_aggregation_count=1
168,NEXT152,2026-08-08,search/test,complete top-two trimming search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 62 SAFE12; 0 pass AUC (best WyFormer pooled 0.740505 < 0.75); 0 BROAD,fail-gate,yes,line 1605 | docs/plans/2026-08-08-next152-trimmed-joint-base-search.md | SSD/workspace_data/newpauling/next152_trimmed_joint_base_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=176 || S
169,NEXT153,2026-08-08,search/test,top-two attenuation homotopy search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,66 candidates; gamma 0 and 0.1 each retain 11 AUC+SAFE12; 0 BROAD,fail-gate,yes,line 1632 | docs/plans/2026-08-08-next153-top2-attenuation-homotopy-search.md | SSD/workspace_data/newpauling/next153_top2_attenuation_homotopy_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=6
170,NEXT154,2026-08-08,diagnostic,attenuation residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,gamma=0: 0.773270972; gamma=0.1: 0.773960122; top-two attenuation terminated,diagnostic-only,yes,line 1653 | docs/plans/2026-08-08-next154-top2-attenuation-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next154_top2_attenuation_broad_residual_diagnostic_v1/MANIFEST.json :: candidate_count=22 || SSD/workspace_data/newpauling/next154_top2_attenuation_br
171,NEXT155,2026-08-08,diagnostic,robust saturation audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 9 saturation statistics,"sum_clip_0p5 selected; shell AUC SCIGEN 0.580381/0.561724, WyFormer 0.655086; full-extreme 0.821189/0.780613",diagnostic-only,yes,line 1677 | docs/plans/2026-08-08-next155-robust-contribution-transform-audit.md | SSD/workspace_data/newpauling/next155_robust_contribution_transform_audit_v1/MANIFEST.json :: eligible_statistic_count=2
172,NEXT156,2026-08-08,search/test,capped-contribution law search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; all 176 pass AUC; 0 SAFE12; 0 BROAD; cap=0.5 branch terminated,fail-gate,yes,line 1701 | docs/plans/2026-08-08-next156-capped-contribution-joint-base-search.md | SSD/workspace_data/newpauling/next156_capped_contribution_joint_base_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
173,NEXT157,2026-08-08,diagnostic,mechanism-family consensus audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 10 family statistics,"family_capped_mean_sum selected (3/10 eligible); shell AUC SCIGEN 0.583555/0.565260, WyFormer 0.656105",diagnostic-only,yes,line 1759 | docs/plans/2026-08-08-next157-mechanism-family-consensus-audit.md | SSD/workspace_data/newpauling/next157_mechanism_family_consensus_audit_v1/MANIFEST.json :: eligible_statistic_count=3
174,NEXT158,2026-08-08,search/test,family-consensus law search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 88 pass AUC; 3 pass AUC+SAFE12; 0 BROAD,fail-gate,yes,line 1794 | docs/plans/2026-08-08-next158-mechanism-family-consensus-search.md | SSD/workspace_data/newpauling/next158_mechanism_family_consensus_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=
175,NEXT159,2026-08-08,diagnostic,family-consensus residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,all three candidates: six SCIGEN protected_kept failures; shortfall 0.868227031 at threshold 0.2342942909,diagnostic-only,yes,line 1812 | docs/plans/2026-08-08-next159-mechanism-family-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next159_mechanism_family_broad_residual_diagnostic_v1/MANIFEST.json :: candidate_count=3 || SSD/workspace_data/newpauling/next159_mechanism_family_bro
176,NEXT160,2026-08-08,search/test,hard family-concurrence rescue search,SCIGEN+WyFormer discovery,six source-AUC gates,352 candidates; 0 pass AUC (best WyFormer pooled ~0.714 < 0.75); terminated,fail-gate,yes,line 1836 | docs/plans/2026-08-08-next160-secondary-family-consensus-rescue.md | SSD/workspace_data/newpauling/next160_secondary_family_consensus_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=
177,NEXT161,2026-08-08,diagnostic,dominant-family attenuation audit,SCIGEN+WyFormer discovery labels (offline),preregistered audit gates over gamma grid,"gamma=0.1 selected; shell AUC SCIGEN 0.584479/0.563379, WyFormer 0.654297",diagnostic-only,yes,line 1855 | docs/plans/2026-08-08-next161-family-dominance-attenuation-audit.md | SSD/workspace_data/newpauling/next161_family_dominance_attenuation_audit_v1/MANIFEST.json :: eligible_statistic_count=4
178,NEXT162,2026-08-08,search/test,dominance attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 88 pass AUC; 0 SAFE12; 0 BROAD; closest 11/12 SAFE,fail-gate,yes,line 1870 | docs/plans/2026-08-08-next162-family-dominance-attenuation-search.md | SSD/workspace_data/newpauling/next162_family_dominance_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
179,NEXT163,2026-08-08,search/test,interior family-attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,704 new candidates; 12 AUC+SAFE12 in total; 0 BROAD,fail-gate,yes,line 1896 | docs/plans/2026-08-08-next163-interior-family-attenuation-search.md | SSD/workspace_data/newpauling/next163_interior_family_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
180,NEXT164,2026-08-08,diagnostic,interior attenuation residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best gamma=0.075 shortfall 0.860418594 (-0.007808437); same six failures; branch terminated,diagnostic-only,yes,line 1910 | docs/plans/2026-08-08-next164-interior-attenuation-broad-residual.md | SSD/workspace_data/newpauling/next164_interior_attenuation_broad_residual_v1/MANIFEST.json :: candidate_count=12 || SSD/workspace_data/newpauling/next164_interior_attenuation_broad
181,NEXT165,2026-08-08,diagnostic,family-specific repair audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 15 family statistics,"0/15 eligible; top valence_transport_margin SCIGEN shell 0.537442/0.518900, WyFormer 0.531324",diagnostic-only,yes,line 1980 | docs/plans/2026-08-08-next165-family-specific-repair-audit.md | SSD/workspace_data/newpauling/next165_family_specific_repair_audit_v1/MANIFEST.json :: eligible_statistic_count=0
182,NEXT166,2026-08-08,search/test,periodic contact-topology translation rank features,SCIGEN+WyFormer discovery,label-free feature build (exact integer rank),"Voronoi supported 13,220/13,470 SCIGEN and 5,138/5,232 WyFormer; CrystalNN 12,749 / 5,026",probe-pass,yes,line 2043 | docs/plans/2026-08-08-next166-periodic-contact-topology-features.md | artifact mtime: docs/plans/2026-08-08-next166-periodic-contact-topology-features.md
183,NEXT167,2026-08-08,search/test,contact-topology threshold-local audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 14 hypotheses,0/14 eligible; top lower CrystalNN rank-0 fraction shell 0.507595/0.503752 (near random); branch terminated,abandoned-family,yes,line 2085 | docs/plans/2026-08-08-next167-periodic-contact-topology-audit.md | SSD/workspace_data/newpauling/next167_periodic_contact_topology_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
184,NEXT168,2026-08-08,search/test,local directional rigidity features (Gram tensor),SCIGEN+WyFormer discovery,label-free feature build,"support 13,220 & 12,749 SCIGEN, 5,138 & 5,026 WyFormer; features non-degenerate",probe-pass,yes,line 2130 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | artifact mtime: docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md
185,NEXT169,2026-08-08,search/test,directional-rigidity audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"5/10 eligible (all CrystalNN); min tightness shell 0.620496/0.593120 SCIGEN, WyFormer 0.611461; full 0.791050/0.672382",probe-pass,yes,line 2178 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | SSD/workspace_data/newpauling/next169_periodic_local_directional_rigidity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=5
186,NEXT170,2026-08-08,search/test,bounded rigidity attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 41 AUC; 4 SAFE12; 0 BROAD,fail-gate,yes,line 2214 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | SSD/workspace_data/newpauling/next170_local_directional_rigidity_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; cand
187,NEXT171,2026-08-08,search/test,repair-interval rigidity attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 39 AUC; 41 SAFE12; 0 BROAD; operator family terminated,fail-gate,yes,line 2273 | docs/plans/2026-08-08-next171-repair-interval-local-rigidity-search.md | SSD/workspace_data/newpauling/next171_repair_interval_local_rigidity_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
188,NEXT172,2026-08-08,diagnostic,interval-localization residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,base best 0.860418594; every rigidity correction worse (0.870641913-0.875999650); same six failures,diagnostic-only,yes,line 2338 | docs/plans/2026-08-08-next172-repair-interval-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next172_repair_interval_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=39 || SSD/workspace_data/newpauling/
189,NEXT173,2026-08-08,search/test,weighted local directional rigidity features,SCIGEN+WyFormer discovery,label-free feature build,"support identical to NEXT168 (13,220/12,749 and 5,138/5,026)",probe-pass,yes,line 2400 | docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md | artifact mtime: docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md
190,NEXT174,2026-08-08,search/test,weighted rigidity audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"5/10 eligible; weighted min tightness 0.624395/0.602054 SCIGEN, WyFormer 0.620006; full 0.795250/0.680616",probe-pass,yes,line 2418 | docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md | SSD/workspace_data/newpauling/next174_weighted_local_directional_rigidity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=5
191,NEXT175,2026-08-08,search/test,weighted-rigidity repair-width search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 40 AUC; 41 SAFE12; 0 BROAD,fail-gate,yes,line 2443 | docs/plans/2026-08-08-next175-weighted-rigidity-repair-width-search.md | SSD/workspace_data/newpauling/next175_weighted_rigidity_repair_width_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
192,NEXT176,2026-08-08,diagnostic,weighted-rigidity residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,q10 tightness alpha=1 shortfall 0.860419 -> 0.847144; all six failures retained,diagnostic-only,yes,line 2461 | docs/plans/2026-08-08-next176-weighted-rigidity-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next176_weighted_rigidity_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=40 || SSD/workspace_data/newpaulin
193,NEXT177,2026-08-08,search/test,amplitude-boundary extension search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,alpha 1-4 one-time extension; no BROAD; AUC retained through alpha=1.5,fail-gate,yes,line 2476 | docs/plans/2026-08-08-next177-weighted-rigidity-amplitude-extension-search.md | SSD/workspace_data/newpauling/next177_weighted_rigidity_amplitude_extension_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candi
194,NEXT178,2026-08-08,diagnostic,amplitude-extension residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best admissible 0.834952 at alpha=1.5; protected 2625/3045; pure amplitude extension closed,diagnostic-only,yes,line 2483 | docs/plans/2026-08-08-next178-amplitude-extension-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next178_amplitude_extension_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=8 || SSD/workspace_data/newpauli
195,NEXT179,2026-08-08,search/test,strong-neighborhood directional closure features,SCIGEN+WyFormer discovery,label-free feature build,support matched NEXT173 exactly,probe-pass,yes,line 2500 | docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md | artifact mtime: docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md
196,NEXT180,2026-08-08,search/test,strong-closure audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"6/10 eligible; CrystalNN min closure 0.622388/0.604697 SCIGEN, WyFormer 0.618061; full 0.795517/0.682956",probe-pass,yes,line 2519 | docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md | SSD/workspace_data/newpauling/next180_strong_neighborhood_directional_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=6
197,NEXT181,2026-08-08,search/test,repair-width closure search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,49 candidates; 47 AUC; 49 SAFE12; 0 BROAD,fail-gate,yes,line 2545 | docs/plans/2026-08-08-next181-strong-closure-repair-width-search.md | SSD/workspace_data/newpauling/next181_strong_closure_repair_width_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
198,NEXT182,2026-08-08,search/test,family-targeted closure search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,25 candidates; 24 AUC; 25 SAFE12; 0 BROAD,fail-gate,yes,line 2554 | docs/plans/2026-08-08-next182-local-family-closure-attenuation-search.md | SSD/workspace_data/newpauling/next182_local_family_closure_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
199,NEXT183,2026-08-08,search/test,nonlocal-cleanliness conditional certificate audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 36 hypotheses,"20/36 eligible; selected closure_min*clean_mean shell 0.621148/0.603091 SCIGEN, WyFormer 0.615796; full 0.806105/0.695713",probe-pass,yes,line 2599 | docs/plans/2026-08-08-next183-next184-conditional-nonlocal-cleanliness-closure.md | SSD/workspace_data/newpauling/next183_conditional_nonlocal_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=20
200,NEXT184,2026-08-08,search/test,conditional-certificate formula search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,121 candidates; 93 AUC; 121 SAFE; 0 BROAD,fail-gate,yes,line 2642 | docs/plans/2026-08-08-next183-next184-conditional-nonlocal-cleanliness-closure.md | SSD/workspace_data/newpauling/next184_conditional_nonlocal_closure_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
201,NEXT185,2026-08-08,diagnostic,conditional-certificate residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.836140 vs base 0.860419; rescued only 13 aggregate rows, deficit 420; same six failures",diagnostic-only,yes,line 2673 | docs/plans/2026-08-08-next185-conditional-closure-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next185_conditional_closure_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=93 || SSD/workspace_data/newpaul
202,NEXT186,2026-08-08,search/test,local/nonlocal contradiction relief audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 24 relief hypotheses,0/24 eligible; best SCIGEN worst-fold protection AUC 0.509465; no search authorized,no-gain,yes,line 2715 | docs/plans/2026-08-08-next186-next187-local-nonlocal-contradiction-relief.md | SSD/workspace_data/newpauling/next186_local_nonlocal_contradiction_relief_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
203,NEXT187,2026-08-08 (range-plan date),search/test,local-nonlocal-contradiction-relief,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-08-next186-next187-local-nonlocal-contradiction-relief.md
204,NEXT188,2026-08-08,search/test,contradiction severity audit (opposite direction),SCIGEN+WyFormer discovery labels (offline),identity-controlled cross-source eligibility,AUC exactly 1-AUC_NEXT186; full-pop 0.680648/0.687930 but SCIGEN shell worst fold 0.482066; 0/24 eligible,no-gain,yes,line 2715 | docs/plans/2026-08-08-next188-next189-contradiction-severity-penalty.md | SSD/workspace_data/newpauling/next188_contradiction_severity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
205,NEXT189,2026-08-08 (range-plan date),search/test,contradiction-severity-penalty,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-08-next188-next189-contradiction-severity-penalty.md
206,NEXT190,2026-08-08,search/test,latent-symmetry recoverability audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 6 symmetry-recovery variables,"SCIGEN shell 0.630493/0.573942, full 0.804734; WyFormer ~chance 0.499660/0.497815 (~90% zeros); 0 eligible",no-gain,yes,line 2746 | docs/plans/2026-08-08-next190-next191-latent-symmetry-recoverability.md | SSD/workspace_data/newpauling/next190_latent_symmetry_recoverability_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
207,NEXT191,2026-08-08 (block),search/test,latent-symmetry recoverability (follow-on),NA,"reserved follow-on; not run (""NEXT191 was not run"")",NA,not-run (blocked upstream),no,line 2758 | docs/plans/2026-08-08-next190-next191-latent-symmetry-recoverability.md
208,NEXT192,2026-08-08,search/test,signed safe-margin audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 10 signed-margin hypotheses,0/10 pass all gates; safe_local_geometry failed only SCIGEN worst fold (0.520498); full 0.832189/0.752703,no-gain,yes,line 2767 | docs/plans/2026-08-08-next192-next193-signed-safe-margin-certificate.md | SSD/workspace_data/newpauling/next192_signed_safe_margin_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
209,NEXT193,2026-08-08 (range-plan date),search/test,signed-safe-margin-certificate,NA,absent - never mentioned in report,NA,unmarked,no,NA | docs/plans/2026-08-08-next192-next193-signed-safe-margin-certificate.md
210,NEXT194,2026-08-08,search/test,signed-local safety x strong closure audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 12 conjunctions,"6/12 eligible; product closure_min*safety 0.612914/0.588336 SCIGEN, WyFormer 0.634046; full 0.823498/0.731146",probe-pass,yes,line 2801 | docs/plans/2026-08-08-next194-next195-signed-local-closure-certificate.md | SSD/workspace_data/newpauling/next194_signed_local_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=6
211,NEXT195,2026-08-08,search/test,signed-local closure formula search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,37 candidates; all 37 pass AUC+SAFE12; 0 BROAD,fail-gate,yes,line 2833 | docs/plans/2026-08-08-next194-next195-signed-local-closure-certificate.md | SSD/workspace_data/newpauling/next195_signed_local_closure_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=37; el
212,NEXT196,2026-08-08,diagnostic,signed-local closure residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.816780, retention 2636/3045 (deficit 409); same six failures",diagnostic-only,yes,line 2860 | docs/plans/2026-08-08-next196-signed-local-closure-broad-residual.md | SSD/workspace_data/newpauling/next196_signed_local_closure_broad_residual_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=37 || SSD/workspace_data/newpauling/next19
213,NEXT197,2026-08-08,search/test,discrete protected-exception search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,55 candidates; 54 AUC; 55 SAFE; 0 BROAD,fail-gate,yes,line 2905 | docs/plans/2026-08-08-next197-next198-discrete-protected-exception.md | SSD/workspace_data/newpauling/next197_discrete_protected_exception_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
214,NEXT198,2026-08-08,diagnostic,discrete-exception residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.799874, retention 2644/3045 (+32 rows vs base); deficit 401; same six failures",diagnostic-only,yes,line 2933 | docs/plans/2026-08-08-next197-next198-discrete-protected-exception.md | SSD/workspace_data/newpauling/next198_discrete_protected_exception_broad_residual_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=54 || SSD/workspace_data/newpaulin
215,NEXT199,2026-08-08,search/test,motif-coherence feature freeze (NEXT46 features),SCIGEN+WyFormer discovery,label-free feature build,"21 features finite for 13,442/13,470 SCIGEN (99.79%) and 5,232/5,232 WyFormer",probe-pass,yes,line 2953 | docs/plans/2026-08-08-next199-next200-cross-source-motif-coherence.md | artifact mtime: docs/plans/2026-08-08-next199-next200-cross-source-motif-coherence.md
216,NEXT200,2026-08-08,search/test,cross-source motif audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 21 motif directions,"1/21 eligible: motif_weight_sum_min shell 0.595159/0.583279 SCIGEN, WyFormer 0.556090; full 0.738293/0.559219",probe-pass,yes,line 2975 | docs/plans/2026-08-08-next199-next200-cross-source-motif-coherence.md | SSD/workspace_data/newpauling/next200_cross_source_motif_audit_v1/MANIFEST.json :: eligible_hypothesis_count=1
217,NEXT201,2026-08-08,search/test,motif-weight floor repair search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,67 candidates; 23 AUC; 67 SAFE; 0 BROAD; branch terminated,fail-gate,yes,line 3002 | docs/plans/2026-08-08-next201-motif-weight-floor-repair.md | SSD/workspace_data/newpauling/next201_motif_weight_floor_repair_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=67 || SS
218,NEXT202,2026-08-08,search/test,weakest-site x motif-dispersion conjunction audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 24 conjunctions,"21/24 eligible; selected product shell SCIGEN 0.620441/0.568463, WyFormer 0.571981/0.541287; full 0.815139/0.593462",probe-pass,yes,line 3056 | docs/plans/2026-08-08-next202-next204-motif-conjunction.md | SSD/workspace_data/newpauling/next202_motif_conjunction_audit_v1/MANIFEST.json :: eligible_hypothesis_count=21
219,NEXT203,2026-08-08,search/test,motif-conjunction discrete-exception search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,190 candidates; all pass AUC and SAFE12; 0 BROAD,fail-gate,yes,line 3086 | docs/plans/2026-08-08-next202-next204-motif-conjunction.md | SSD/workspace_data/newpauling/next203_motif_conjunction_exception_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
