unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
135,next,NEXT119,2026-08-08,2026-08-08T07:53 .. 2026-08-08T07:55,2026-08-08T11:52:22,plausibility,,mined from round report/controls,search/test,bounded valence-transport budget (BVTBD closed-form design),prototype,kernel/builder tests incl. multi-coordinate oracle,passed 20 kernel/builder tests; earlier exact TRF box prototype abandoned (>20-min latency tail),probe-pass,line 323 | docs/plans/2026-08-08-next119-bounded-valence-transport-design.md | artifact mtime: tests/test_next119_bounded_valence_transport.py
136,next,NEXT120,2026-08-08,2026-08-08T07:53 .. 2026-08-08T07:59,2026-08-08T11:57:32,plausibility,,mined from round report/controls,search/test,BVTBD label-free feature build,SCIGEN+WyFormer discovery,label-free feature coverage,"SCIGEN 13,008/13,470 supported; WyFormer 4,984/5,232; all 11 features finite",probe-pass,line 358 | docs/plans/2026-08-08-next120-bvtbd-feature-freeze.json | artifact mtime: tests/test_next120_cross_source_bvtbd_features.py
137,next,NEXT121,2026-08-08,2026-08-08T08:05 .. 2026-08-08T10:49,2026-08-08T12:14:53,plausibility,,mined from round report/controls,search/test,BVTBD frontier rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"59,319 candidates; 11,450 pass six AUC; 3,573 SAFE12; 0 both; closest SAFE12 SCIGEN worst AUC 0.544910787 < 0.55 (deficit 0.005089213)",fail-gate,line 391 | docs/plans/2026-08-08-next121-bvtbd-frontier-rescue-design.md | SSD/workspace_data/newpauling/next121_bvtbd_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=59319 || SSD
138,next,NEXT122,2026-08-08,2026-08-08T10:56 .. 2026-08-08T11:33,2026-08-08T15:55:21,plausibility,,mined from round report/controls,search/test,fixed SAFE12 BVTC/PRLR rescue,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"14,292 candidates; 572 pass six AUC; 7,169 SAFE12; 0 both; closest SAFE12 SCIGEN worst AUC 0.547835972 (deficit 0.002164028); 0 BROAD",fail-gate,line 512 | docs/plans/2026-08-08-next122-safe12-bvtc-prlr-rescue-design.md | SSD/workspace_data/newpauling/next122_safe12_bvtc_prlr_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=14292 || S
139,next,NEXT123,2026-08-08,2026-08-08T11:40 .. 2026-08-08T11:44,2026-08-08T16:40:25,plausibility,,mined from round report/controls,search/test,multiscale Hall contact robustness (MHCR design),SCIGEN+WyFormer discovery,frozen label-free feature construction,NA,probe-pass,line 616 | docs/plans/2026-08-08-next123-multiscale-hall-contact-robustness-design.md | artifact mtime: docs/plans/2026-08-08-next123-multiscale-hall-contact-robustness-design.md
140,next,NEXT124,2026-08-08,2026-08-08T11:46 .. 2026-08-08T12:07,2026-08-08T16:40:25,plausibility,,mined from round report/controls,search/test,MHCR label-free feature build,SCIGEN+WyFormer discovery,label-free coverage + redundancy cutoff,"core supported 7,696/13,470 SCIGEN, 3,722/5,232 WyFormer; max pairwise Spearman ~0.561158 < 0.98 cutoff",probe-pass,line 629 | docs/plans/2026-08-08-next123-next125-mhcr-implementation.md | artifact mtime: tests/test_next124_cross_source_mhcr_features.py
141,next,NEXT125,2026-08-08,2026-08-08T12:15 .. 2026-08-08T13:14,2026-08-08T16:40:25,plausibility,,mined from round report/controls,search/test,MHCR frontier rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"57,178 candidates; 260 pass six AUC + SAFE12 (first closure of the AUC-SAFE12 conflict); 0 pass BROAD; best min AUC margin +0.003498697",fail-gate,line 660 | docs/plans/2026-08-08-next123-next125-mhcr-implementation.md | SSD/workspace_data/newpauling/next125_mhcr_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=57178 || SSD/
142,next,NEXT126,2026-08-08,2026-08-08T13:19 .. 2026-08-08T13:22,2026-08-08T18:19:59,plausibility,,mined from round report/controls,search/test,Hall-profile persistence (HPP) feature,SCIGEN+WyFormer discovery,label-free feature build,"SCIGEN 499 nonzero of 11,194 supported (Spearman vs tau50 0.641163); WyFormer 629/4,545 (0.740195)",probe-pass,line 765 | docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md | artifact mtime: docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md
143,next,NEXT127,2026-08-08,2026-08-08T13:23 .. 2026-08-08T13:32,2026-08-08T18:19:59,plausibility,,mined from round report/controls,search/test,HPP rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"1,300 candidates; 1,300 pass AUC; 396 SAFE12; 0 BROAD; branch terminated",fail-gate,line 797 | docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md | SSD/workspace_data/newpauling/next127_hall_profile_persistence_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=13
144,next,NEXT128,2026-08-08,2026-08-08T13:34 .. 2026-08-08T13:39,2026-08-08T18:34:05,plausibility,,mined from round report/controls,diagnostic,exact BROAD residual diagnostic of NEXT125 laws,SCIGEN+WyFormer discovery labels (offline),exact Pauling-Pareto threshold enumeration,all 260 laws fail exactly six SCIGEN protected_kept constraints; best normalized six-cell shortfall 1.153343964; kept 2467/3045 aggregate,diagnostic-only,line 851 | docs/plans/2026-08-08-next128-broad-residual-diagnostic.md | artifact mtime: docs/plans/2026-08-08-next128-broad-residual-diagnostic.md
145,next,NEXT129,2026-08-08,2026-08-08T13:42 .. 2026-08-08T13:44,2026-08-08T18:42:52,plausibility,,mined from round report/controls,search/test,high-coordination protection feature,SCIGEN+WyFormer discovery,label-free feature build,"coverage 13,470/13,470 SCIGEN and 5,229/5,232 WyFormer; positive on 7,258 / 2,080 rows",probe-pass,line 889 | docs/plans/2026-08-08-next129-next130-coordination-protection.md | artifact mtime: docs/plans/2026-08-08-next129-next130-coordination-protection.md
146,next,NEXT130,2026-08-08,2026-08-08T13:45 .. 2026-08-08T13:55,2026-08-08T18:42:52,plausibility,,mined from round report/controls,search/test,coordination-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"1,560 candidates; all retain AUC; 454 retain SAFE12; 0 BROAD",fail-gate,line 915 | docs/plans/2026-08-08-next129-next130-coordination-protection.md | SSD/workspace_data/newpauling/next130_coordination_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=156
147,next,NEXT131,2026-08-08,2026-08-08T13:57 .. 2026-08-08T14:03,2026-08-08T18:57:02,plausibility,,mined from round report/controls,diagnostic,residual after coordination protection,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,same six SCIGEN protected_kept failures; best weight-2 shortfall 0.792624940 (~31% smaller than 1.153343964),diagnostic-only,line 954 | docs/plans/2026-08-08-next131-protected-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next131_protected_broad_residual_diagnostic_v1/NEXT131_PROTECTED_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=260; candidate_count=112; candidate
148,next,NEXT132,2026-08-08,2026-08-08T14:04 .. 2026-08-08T14:08,2026-08-08T19:04:29,plausibility,,mined from round report/controls,search/test,higher-weight coordination termination search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,weights 3/4/6 lose SAFE12; 8/12 lose AUC; 0 BROAD; univariate weight extrapolation terminated,fail-gate,line 983 | docs/plans/2026-08-08-next132-extended-coordination-protection-search-freeze.json | SSD/workspace_data/newpauling/next132_extended_coordination_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
149,next,NEXT133,2026-08-08,2026-08-08T14:14 .. 2026-08-08T14:16,2026-08-08T19:14:42,plausibility,,mined from round report/controls,search/test,compactness protection features (low volume; covalent packing),SCIGEN+WyFormer discovery,label-free feature build (residual-audit motivated),"low geom_volume_pa pooled AUC 0.734414, worst-fold 0.707213 in residual audit; full support 13,470 + 5,232",probe-pass,line 1000 | docs/plans/2026-08-08-next133-next134-compactness-protection.md | artifact mtime: docs/plans/2026-08-08-next133-next134-compactness-protection.md
150,next,NEXT134,2026-08-08,2026-08-08T14:16 .. 2026-08-08T14:21,2026-08-08T19:14:42,plausibility,,mined from round report/controls,search/test,compactness-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,539 candidates; 264 AUC; 93 SAFE12; 79 both; 0 BROAD; some raise SCIGEN worst AUC to ~0.56410,fail-gate,line 1027 | docs/plans/2026-08-08-next133-next134-compactness-protection.md | SSD/workspace_data/newpauling/next134_compactness_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=539 
151,next,NEXT135,2026-08-08,2026-08-08T14:27 .. 2026-08-08T14:32,2026-08-08T19:26:41,plausibility,,mined from round report/controls,search/test,conjunctive-product protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,539 candidates; 539 AUC; 119 SAFE12; 0 BROAD; best SCIGEN pooled/macro/worst 0.841038584/0.691965848/0.559729221,fail-gate,line 1078 | docs/plans/2026-08-08-next135-conjunctive-compactness-search-freeze.json | SSD/workspace_data/newpauling/next135_conjunctive_compactness_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=539
152,next,NEXT136,2026-08-08,2026-08-08T14:34 .. 2026-08-08T14:38,2026-08-08T19:34:25,plausibility,,mined from round report/controls,diagnostic,residual after product protection,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best shortfall 0.773270972 (further -2.44%); kept 2656/3045; same six SCIGEN protected_kept failures,diagnostic-only,line 1119 | docs/plans/2026-08-08-next136-conjunctive-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next136_conjunctive_broad_residual_diagnostic_v1/NEXT136_CONJUNCTIVE_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candidate_count=11; candida
153,next,NEXT137,2026-08-08,2026-08-08T14:40 .. 2026-08-08T14:44,2026-08-08T19:40:27,plausibility,,mined from round report/controls,search/test,conjunctive-min bottleneck search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,539 candidates; 517 AUC; 66 SAFE12; 0 BROAD,fail-gate,line 1141 | docs/plans/2026-08-08-next137-conjunctive-bottleneck-search-freeze.json | SSD/workspace_data/newpauling/next137_conjunctive_bottleneck_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=539 
154,next,NEXT138,2026-08-08,2026-08-08T14:45 .. 2026-08-08T14:48,2026-08-08T19:45:44,plausibility,,mined from round report/controls,diagnostic,bottleneck residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"best min-law shortfall 0.786391801, worse than product 0.773270972; coordination-by-compactness grammar closed",diagnostic-only,line 1141 | docs/plans/2026-08-08-next138-bottleneck-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next138_bottleneck_broad_residual_diagnostic_v1/NEXT138_BOTTLENECK_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candidate_count=44; candidate
155,next,NEXT139,2026-08-08,2026-08-08T14:56 .. 2026-08-08T14:57,2026-08-08T19:55:10,plausibility,,mined from round report/controls,search/test,analytic Ewald field protection feature,SCIGEN+WyFormer discovery,label-free feature build,"-aefi_field_max protected-vs-severe AUC SCIGEN 0.8268/0.7612, WyFormer 0.6397/0.6183; support 13,260/13,470 and 5,204/5,232",probe-pass,line 1211 | docs/plans/2026-08-08-next139-analytic-field-protection.md | artifact mtime: docs/plans/2026-08-08-next139-analytic-field-protection.md
156,next,NEXT140,2026-08-08,2026-08-08T14:58 .. 2026-08-08T15:01,2026-08-08T19:55:10,plausibility,,mined from round report/controls,search/test,analytic-field protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,88 candidates; 33 SAFE12 (weights <=0.25); weights >=4 lose AUC; 0 BROAD,fail-gate,line 1240 | docs/plans/2026-08-08-next140-analytic-field-protection-search-freeze.json | SSD/workspace_data/newpauling/next140_analytic_field_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=8
157,next,NEXT141,2026-08-08,2026-08-08T15:03 .. 2026-08-08T15:05,2026-08-08T20:02:54,plausibility,,mined from round report/controls,diagnostic,analytic-field residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,shortfall worsens 0.792624940 -> 0.794374063 -> 0.820177208 with weight; branch closed,diagnostic-only,line 1254 | docs/plans/2026-08-08-next141-analytic-field-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next141_analytic_field_broad_residual_diagnostic_v1/NEXT141_ANALYTIC_FIELD_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candidate_count=11; c
158,next,NEXT142,2026-08-08,2026-08-08T15:07 .. 2026-08-08T15:11,2026-08-08T20:07:56,plausibility,,mined from round report/controls,diagnostic,threshold-local retention audit,SCIGEN+WyFormer discovery labels (offline),threshold-local protected-vs-severe AUC over 149 features,selected lower acsb_site_residual_max: SCIGEN 0.647826/0.647564/0.626170; WyFormer pooled 0.548078,diagnostic-only,line 1304 | docs/plans/2026-08-08-next142-threshold-local-retention-audit.md | artifact mtime: docs/plans/2026-08-08-next142-threshold-local-retention-audit.md
159,next,NEXT143,2026-08-08,2026-08-08T15:12 .. 2026-08-08T15:14,2026-08-08T20:12:29,plausibility,,mined from round report/controls,search/test,Coulomb-steric balance protection feature (ACSB),SCIGEN+WyFormer discovery,label-free feature build (parameter-free),"support 13,260/13,470 and 5,204/5,232; positive on 5,880 / 2,016 rows",probe-pass,line 1341 | docs/plans/2026-08-08-next143-coulomb-steric-balance-protection.md | artifact mtime: docs/plans/2026-08-08-next143-coulomb-steric-balance-protection.md
160,next,NEXT144,2026-08-08,2026-08-08T15:16 .. 2026-08-08T15:20,2026-08-08T20:15:04,plausibility,,mined from round report/controls,search/test,balance-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,88 candidates; 22 SAFE12 (weights 0 and 0.1); 0 BROAD,fail-gate,line 1364 | docs/plans/2026-08-08-next144-coulomb-steric-balance-protection-search-freeze.json | SSD/workspace_data/newpauling/next144_coulomb_steric_balance_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate
161,next,NEXT145,2026-08-08,2026-08-08T15:20 .. 2026-08-08T15:23,2026-08-08T20:20:46,plausibility,,mined from round report/controls,diagnostic,balance residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,shortfall 0.792624940 at w=0 worsens to 0.812704862 at w=0.1; branch terminated,diagnostic-only,line 1364 | docs/plans/2026-08-08-next145-coulomb-steric-balance-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next145_coulomb_steric_balance_broad_residual_diagnostic_v1/NEXT145_COULOMB_STERIC_BALANCE_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candi
162,next,NEXT146,2026-08-08,2026-08-08T15:26 .. 2026-08-08T15:29,2026-08-08T20:26:18,plausibility,,mined from round report/controls,search/test,sparse balance exemption search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,231 candidates; 55 SAFE12; 0 BROAD,fail-gate,line 1428 | docs/plans/2026-08-08-next146-conditional-balance-exemption-search-freeze.json | SSD/workspace_data/newpauling/next146_conditional_balance_exemption_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_cou
163,next,NEXT147,2026-08-08,2026-08-08T15:29 .. 2026-08-08T15:33,2026-08-08T20:29:56,plausibility,,mined from round report/controls,diagnostic,exemption residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,every cutoff worsens residual (0.814260497-0.824271884 vs 0.792624940 baseline); ACSB axis closed,diagnostic-only,line 1446 | docs/plans/2026-08-08-next147-conditional-balance-exemption-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next147_conditional_balance_exemption_broad_residual_diagnostic_v1/NEXT147_CONDITIONAL_BALANCE_EXEMPTION_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_c
164,next,NEXT148,2026-08-08,2026-08-08T15:34 .. 2026-08-08T15:36,2026-08-08T20:34:33,plausibility,,mined from round report/controls,search/test,formal-charge spectrum protection feature,SCIGEN+WyFormer discovery,label-free feature build,"lower csf_long_fraction shell AUC SCIGEN 0.598915/0.570485; WyFormer 0.649294/0.615480; support 13,260 / 5,204",probe-pass,line 1480 | docs/plans/2026-08-08-next148-charge-order-spectrum-protection.md | artifact mtime: docs/plans/2026-08-08-next148-charge-order-spectrum-protection.md
165,next,NEXT149,2026-08-08,2026-08-08T15:36 .. 2026-08-08T15:39,2026-08-08T20:36:57,plausibility,,mined from round report/controls,search/test,spectrum-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,88 candidates; 33 SAFE12; all positive weights fail source-AUC gates; 0 BROAD,fail-gate,line 1498 | docs/plans/2026-08-08-next149-charge-order-spectrum-protection-search-freeze.json | SSD/workspace_data/newpauling/next149_charge_order_spectrum_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
166,next,NEXT150,2026-08-08,2026-08-08T15:39 .. 2026-08-08T15:42,2026-08-08T20:39:42,plausibility,,mined from round report/controls,diagnostic,spectrum residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,weight-1 shortfall 0.848774725; weight-2 4.303826445 with 12 BROAD failures; branch closed,diagnostic-only,line 1513 | docs/plans/2026-08-08-next150-charge-order-spectrum-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next150_charge_order_spectrum_broad_residual_diagnostic_v1/NEXT150_CHARGE_ORDER_SPECTRUM_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candida
167,next,NEXT151,2026-08-08,2026-08-08T15:45 .. 2026-08-08T15:48,2026-08-08T20:45:43,plausibility,,mined from round report/controls,diagnostic,contribution-multiplicity audit,SCIGEN+WyFormer discovery labels (offline),cross-source shell eligibility of 14 aggregation statistics,"sum_minus_top2 sole eligible; shell AUC SCIGEN 0.580291/0.579997/0.556517, WyFormer pooled 0.647729",diagnostic-only,line 1569 | docs/plans/2026-08-08-next151-violation-multiplicity-audit.md | SSD/workspace_data/newpauling/next151_violation_multiplicity_audit_v1/MANIFEST.json :: eligible_aggregation_count=1
168,next,NEXT152,2026-08-08,2026-08-08T15:52 .. 2026-08-08T15:57,2026-08-08T20:49:54,plausibility,,mined from round report/controls,search/test,complete top-two trimming search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 62 SAFE12; 0 pass AUC (best WyFormer pooled 0.740505 < 0.75); 0 BROAD,fail-gate,line 1605 | docs/plans/2026-08-08-next152-trimmed-joint-base-search.md | SSD/workspace_data/newpauling/next152_trimmed_joint_base_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=176 || S
169,next,NEXT153,2026-08-08,2026-08-08T15:59 .. 2026-08-08T16:04,2026-08-08T20:59:52,plausibility,,mined from round report/controls,search/test,top-two attenuation homotopy search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,66 candidates; gamma 0 and 0.1 each retain 11 AUC+SAFE12; 0 BROAD,fail-gate,line 1632 | docs/plans/2026-08-08-next153-top2-attenuation-homotopy-search.md | SSD/workspace_data/newpauling/next153_top2_attenuation_homotopy_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=6
170,next,NEXT154,2026-08-08,2026-08-08T16:05 .. 2026-08-08T16:09,2026-08-08T21:05:54,plausibility,,mined from round report/controls,diagnostic,attenuation residual diagnostic,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,gamma=0: 0.773270972; gamma=0.1: 0.773960122; top-two attenuation terminated,diagnostic-only,line 1653 | docs/plans/2026-08-08-next154-top2-attenuation-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next154_top2_attenuation_broad_residual_diagnostic_v1/MANIFEST.json :: candidate_count=22 || SSD/workspace_data/newpauling/next154_top2_attenuation_br
171,next,NEXT155,2026-08-08,2026-08-08T16:10 .. 2026-08-08T16:13,2026-08-08T21:10:54,plausibility,,mined from round report/controls,diagnostic,robust saturation audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 9 saturation statistics,"sum_clip_0p5 selected; shell AUC SCIGEN 0.580381/0.561724, WyFormer 0.655086; full-extreme 0.821189/0.780613",diagnostic-only,line 1677 | docs/plans/2026-08-08-next155-robust-contribution-transform-audit.md | SSD/workspace_data/newpauling/next155_robust_contribution_transform_audit_v1/MANIFEST.json :: eligible_statistic_count=2
172,next,NEXT156,2026-08-08,2026-08-08T16:14 .. 2026-08-08T16:17,2026-08-08T21:14:21,plausibility,,mined from round report/controls,search/test,capped-contribution law search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; all 176 pass AUC; 0 SAFE12; 0 BROAD; cap=0.5 branch terminated,fail-gate,line 1701 | docs/plans/2026-08-08-next156-capped-contribution-joint-base-search.md | SSD/workspace_data/newpauling/next156_capped_contribution_joint_base_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
173,next,NEXT157,2026-08-08,2026-08-08T16:21 .. 2026-08-08T16:27,2026-08-08T21:21:48,plausibility,,mined from round report/controls,diagnostic,mechanism-family consensus audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 10 family statistics,"family_capped_mean_sum selected (3/10 eligible); shell AUC SCIGEN 0.583555/0.565260, WyFormer 0.656105",diagnostic-only,line 1759 | docs/plans/2026-08-08-next157-mechanism-family-consensus-audit.md | SSD/workspace_data/newpauling/next157_mechanism_family_consensus_audit_v1/MANIFEST.json :: eligible_statistic_count=3
174,next,NEXT158,2026-08-08,2026-08-08T16:29 .. 2026-08-08T16:32,2026-08-08T21:27:33,plausibility,,mined from round report/controls,search/test,family-consensus law search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 88 pass AUC; 3 pass AUC+SAFE12; 0 BROAD,fail-gate,line 1794 | docs/plans/2026-08-08-next158-mechanism-family-consensus-search.md | SSD/workspace_data/newpauling/next158_mechanism_family_consensus_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=
175,next,NEXT159,2026-08-08,2026-08-08T16:33 .. 2026-08-08T16:36,2026-08-08T21:33:12,plausibility,,mined from round report/controls,diagnostic,family-consensus residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,all three candidates: six SCIGEN protected_kept failures; shortfall 0.868227031 at threshold 0.2342942909,diagnostic-only,line 1812 | docs/plans/2026-08-08-next159-mechanism-family-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next159_mechanism_family_broad_residual_diagnostic_v1/MANIFEST.json :: candidate_count=3 || SSD/workspace_data/newpauling/next159_mechanism_family_bro
176,next,NEXT160,2026-08-08,2026-08-08T16:37 .. 2026-08-08T16:40,2026-08-08T21:37:48,plausibility,,mined from round report/controls,search/test,hard family-concurrence rescue search,SCIGEN+WyFormer discovery,six source-AUC gates,352 candidates; 0 pass AUC (best WyFormer pooled ~0.714 < 0.75); terminated,fail-gate,line 1836 | docs/plans/2026-08-08-next160-secondary-family-consensus-rescue.md | SSD/workspace_data/newpauling/next160_secondary_family_consensus_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=
177,next,NEXT161,2026-08-08,2026-08-08T16:42 .. 2026-08-08T16:45,2026-08-08T21:42:06,plausibility,,mined from round report/controls,diagnostic,dominant-family attenuation audit,SCIGEN+WyFormer discovery labels (offline),preregistered audit gates over gamma grid,"gamma=0.1 selected; shell AUC SCIGEN 0.584479/0.563379, WyFormer 0.654297",diagnostic-only,line 1855 | docs/plans/2026-08-08-next161-family-dominance-attenuation-audit.md | SSD/workspace_data/newpauling/next161_family_dominance_attenuation_audit_v1/MANIFEST.json :: eligible_statistic_count=4
178,next,NEXT162,2026-08-08,2026-08-08T16:46 .. 2026-08-08T16:48,2026-08-08T21:45:32,plausibility,,mined from round report/controls,search/test,dominance attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,176 candidates; 88 pass AUC; 0 SAFE12; 0 BROAD; closest 11/12 SAFE,fail-gate,line 1870 | docs/plans/2026-08-08-next162-family-dominance-attenuation-search.md | SSD/workspace_data/newpauling/next162_family_dominance_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
179,next,NEXT163,2026-08-08,2026-08-08T16:49 .. 2026-08-08T16:56,2026-08-08T21:49:57,plausibility,,mined from round report/controls,search/test,interior family-attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,704 new candidates; 12 AUC+SAFE12 in total; 0 BROAD,fail-gate,line 1896 | docs/plans/2026-08-08-next163-interior-family-attenuation-search.md | SSD/workspace_data/newpauling/next163_interior_family_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
180,next,NEXT164,2026-08-08,2026-08-08T16:56 .. 2026-08-08T16:59,2026-08-08T21:56:44,plausibility,,mined from round report/controls,diagnostic,interior attenuation residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best gamma=0.075 shortfall 0.860418594 (-0.007808437); same six failures; branch terminated,diagnostic-only,line 1910 | docs/plans/2026-08-08-next164-interior-attenuation-broad-residual.md | SSD/workspace_data/newpauling/next164_interior_attenuation_broad_residual_v1/MANIFEST.json :: candidate_count=12 || SSD/workspace_data/newpauling/next164_interior_attenuation_broad
181,next,NEXT165,2026-08-08,2026-08-08T17:09 .. 2026-08-08T17:15,2026-08-08T22:07:00,plausibility,,mined from round report/controls,diagnostic,family-specific repair audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 15 family statistics,"0/15 eligible; top valence_transport_margin SCIGEN shell 0.537442/0.518900, WyFormer 0.531324",diagnostic-only,line 1980 | docs/plans/2026-08-08-next165-family-specific-repair-audit.md | SSD/workspace_data/newpauling/next165_family_specific_repair_audit_v1/MANIFEST.json :: eligible_statistic_count=0
182,next,NEXT166,2026-08-08,2026-08-08T17:21 .. 2026-08-08T17:30,2026-08-08T22:09:25,plausibility,,mined from round report/controls,search/test,periodic contact-topology translation rank features,SCIGEN+WyFormer discovery,label-free feature build (exact integer rank),"Voronoi supported 13,220/13,470 SCIGEN and 5,138/5,232 WyFormer; CrystalNN 12,749 / 5,026",probe-pass,line 2043 | docs/plans/2026-08-08-next166-periodic-contact-topology-features.md | artifact mtime: docs/plans/2026-08-08-next166-periodic-contact-topology-features.md
